"activation","hdim","zdim","cdim","vdim","pc","scalar","type","seed","rep","roc"
1,0,0,0,0,-1,1,1,2,2,0.5302256279267774
1,0,0,0,0,-1,1,-1,2,2,0.5451255853554706
1,0,0,0,0,-1,1,1,2,3,0.5489570029799916
1,0,0,0,0,-1,1,1,2,1,0.5651340996168585
1,0,0,0,0,-1,1,-1,2,3,0.5610898254576417
1,0,0,0,0,-1,1,1,2,4,0.5670498084291189
1,0,0,0,0,-1,1,1,1,2,0.5653469561515538
1,0,0,0,0,-1,1,-1,2,1,0.5766283524904215
1,0,0,0,0,-1,1,-1,1,2,0.5751383567475522
1,0,0,0,0,-1,1,-1,2,4,0.5810983397190295
1,0,0,0,0,-1,1,1,1,1,0.5838654746700724
1,0,0,0,0,-1,1,-1,4,3,0.5832269050659857
1,0,0,0,0,-1,1,-1,1,1,0.5908897403150277
1,0,0,0,0,-1,1,1,1,4,0.5915283099191145
1,0,0,0,0,-1,1,1,4,3,0.5755640698169434
1,0,0,0,0,-1,1,1,4,1,0.5949340144742444
1,0,0,0,0,-1,1,1,4,2,0.594082588335462
1,0,0,0,0,-1,1,1,4,4,0.5932311621966794
1,0,0,0,0,-1,1,-1,1,4,0.6000425713069392
1,0,0,0,0,-1,1,-1,1,3,0.6025968497232866
1,0,0,0,0,-1,1,-1,4,2,0.603448275862069
1,0,0,0,0,-1,1,-1,4,4,0.600681140911026
1,0,0,0,0,-1,1,-1,4,1,0.6070668369518946
1,0,0,0,0,-1,1,1,1,3,0.5934440187313753
1,0,0,0,0,-1,1,1,3,4,0.6096211153682418
1,0,0,0,0,-1,1,-1,3,4,0.6232439335887612
1,0,0,0,0,-1,1,1,3,2,0.6289910600255428
1,0,0,0,0,-1,1,1,3,3,0.6323967645806726
1,0,0,0,0,-1,1,1,3,1,0.6387824606215411
1,0,0,0,0,-1,1,-1,3,2,0.6453810131971052
1,0,0,0,0,-1,1,-1,3,1,0.6507024265644955
1,0,0,0,0,-1,1,-1,3,3,0.6455938697318008
1,0,0,0,0,-1,-1,-1,2,4,0.8056619838229033
1,0,0,0,0,-1,-1,1,2,4,0.8163048105576839
1,0,0,0,0,-1,-1,1,3,1,0.8114091102596854
1,0,0,0,0,-1,-1,1,1,3,0.8139633886760325
1,0,0,0,0,-1,-1,-1,3,3,0.796296296296297
1,0,0,0,0,-1,-1,1,1,1,0.7926777352064709
1,0,0,0,0,-1,-1,-1,1,1,0.781609195402299
1,0,0,0,0,-1,-1,-1,4,1,0.775010642826735
1,0,0,0,0,-1,-1,-1,3,4,0.7894848871860373
1,0,0,0,0,-1,-1,1,3,2,0.8209876543209883
1,0,0,0,0,-1,-1,-1,2,1,0.8367390378884633
1,0,0,0,0,-1,-1,1,3,3,0.8082162622392515
1,0,0,0,0,-1,-1,-1,3,2,0.8069391230310776
1,0,0,0,0,-1,-1,1,4,1,0.7854406130268202
1,0,0,0,0,-1,-1,-1,1,3,0.8071519795657729
1,0,0,0,0,-1,-1,-1,4,2,0.7931034482758623
1,0,0,0,0,-1,-1,1,3,4,0.7988505747126443
1,0,0,0,0,-1,-1,1,2,1,0.8437633035334184
1,0,0,0,0,-1,-1,1,4,2,0.8037462750106432
1,0,0,0,0,-1,-1,-1,4,3,0.8829289059174118
1,0,0,0,0,-1,-1,1,4,3,0.8869731800766283
1,0,0,0,0,-1,-1,-1,2,2,0.8984674329501915
1,0,0,0,0,-1,-1,-1,4,4,0.9022988505747124
1,0,0,0,0,-1,-1,1,4,4,0.9076202639421033
1,0,0,0,0,-1,-1,-1,3,1,0.8041719880800348
