"activation","hdim","zdim","cdim","vdim","pc","scalar","type","seed","roc"
1,1,1,1,-1,-1,1,1,2,0.531502767134951
1,1,-1,1,1,-1,1,1,2,0.5406555981268627
1,1,-1,1,-1,-1,1,1,2,0.5398041719880801
1,1,-1,1,1,-1,1,-1,2,0.5455512984248617
1,1,-1,1,-1,-1,1,-1,2,0.5464027245636441
1,1,1,1,-1,-1,1,-1,2,0.5551298424861643
1,1,1,1,1,-1,1,1,2,0.5549169859514688
1,1,1,1,1,-1,1,-1,2,0.5627926777352066
1,1,1,1,-1,-1,1,1,4,0.565346956151554
1,1,1,1,1,-1,1,1,1,0.5723712217965092
1,1,1,1,-1,-1,1,-1,4,0.5702426564495531
1,1,-1,1,-1,-1,1,1,4,0.5744997871434653
1,1,1,1,1,-1,1,-1,1,0.5776926351638996
1,1,-1,1,1,-1,1,1,1,0.58301404853129
1,1,1,1,1,-1,1,1,4,0.5798212005108557
1,1,-1,1,-1,-1,1,-1,4,0.5791826309067688
1,1,1,1,-1,-1,1,-1,1,0.5849297573435503
1,1,-1,1,1,-1,1,1,4,0.5825883354618987
1,1,1,1,1,-1,1,-1,4,0.5855683269476373
1,1,-1,1,1,-1,1,-1,1,0.5904640272456365
1,1,-1,1,1,-1,1,-1,4,0.587909748829289
1,1,-1,1,-1,-1,1,1,1,0.5913154533844189
1,1,1,1,-1,-1,1,1,1,0.5770540655598128
1,1,-1,1,-1,-1,1,-1,1,0.5955725840783314
1,1,1,1,-1,-1,1,1,3,0.6113239676458067
1,1,1,1,-1,-1,1,-1,3,0.6147296722009365
1,1,-1,1,-1,-1,1,1,3,0.6326096211153684
1,1,-1,1,-1,-1,1,-1,3,0.636653895274585
1,1,-1,1,1,-1,1,1,3,0.637718177948063
1,1,-1,1,1,-1,1,-1,3,0.6483610046828437
1,1,1,1,1,-1,1,1,3,0.6575138356747553
1,1,1,1,1,-1,1,-1,3,0.6702852277564921
1,1,-1,1,-1,-1,-1,1,2,0.7658578118348234
1,1,-1,1,-1,-1,-1,-1,2,0.7724563644103876
1,1,1,1,-1,-1,-1,1,2,0.772243507875692
1,1,1,1,-1,-1,-1,-1,2,0.7905491698595148
1,1,-1,1,-1,-1,-1,1,3,0.8124733929331631
1,1,-1,1,-1,-1,-1,-1,3,0.8222647935291613
1,1,1,1,1,-1,-1,1,4,0.8265219242230737
1,1,-1,1,1,-1,-1,-1,1,0.812686249467859
1,1,1,1,-1,-1,-1,1,4,0.818220519369945
1,1,-1,1,1,-1,-1,1,1,0.8214133673903792
1,1,1,1,-1,-1,-1,-1,4,0.8331204767986378
1,1,-1,1,1,-1,-1,-1,2,0.8218390804597699
1,1,-1,1,1,-1,-1,1,2,0.825670498084291
1,1,1,1,1,-1,-1,-1,3,0.8099191145168158
1,1,1,1,1,-1,-1,1,3,0.808641975308642
1,1,1,1,1,-1,-1,-1,4,0.8463175819497659
1,1,-1,1,-1,-1,-1,1,4,0.8407833120476803
1,1,-1,1,1,-1,-1,-1,3,0.79565772669221
1,1,1,1,1,-1,-1,-1,2,0.8171562366964665
1,1,-1,1,-1,-1,-1,-1,4,0.8456790123456794
1,1,-1,1,1,-1,-1,1,3,0.8028948488718609
1,1,1,1,1,-1,-1,1,2,0.8258833546189867
1,1,1,1,-1,-1,-1,-1,3,0.862707535121328
1,1,1,1,-1,-1,-1,1,3,0.8661132396764578
1,1,-1,1,-1,-1,-1,1,1,0.8925074499787142
1,1,-1,1,-1,-1,-1,-1,1,0.8901660280970622
1,1,-1,1,1,-1,-1,-1,4,0.8150276713495112
1,1,-1,1,1,-1,-1,1,4,0.8258833546189874
1,1,1,1,-1,-1,-1,-1,1,0.9333759046402726
1,1,1,1,-1,-1,-1,1,1,0.9344401873137509
1,1,1,1,1,-1,-1,1,1,0.9695615155385274
1,1,1,1,1,-1,-1,-1,1,0.96700723712218
1,1,1,1,-1,1,1,1,2,0.5306513409961686
1,1,-1,1,1,1,1,1,2,0.5395913154533846
1,1,-1,1,-1,1,1,1,2,0.5393784589186889
1,1,-1,1,1,1,1,-1,2,0.5453384418901662
1,1,-1,1,-1,1,1,-1,2,0.5464027245636441
1,1,1,1,-1,1,1,-1,2,0.5551298424861643
1,1,1,1,1,1,1,1,2,0.5534269902085994
1,1,1,1,1,1,1,-1,2,0.5621541081311197
1,1,1,1,-1,1,1,1,4,0.5647083865474671
1,1,1,1,1,1,1,1,1,0.5706683695189444
1,1,1,1,-1,1,1,-1,4,0.5702426564495531
1,1,1,1,1,1,1,-1,1,0.5779054916985952
1,1,1,1,1,1,1,1,4,0.5810983397190295
1,1,-1,1,1,1,1,1,1,0.5823754789272032
1,1,-1,1,-1,1,1,-1,4,0.5791826309067688
1,1,-1,1,1,1,1,1,4,0.581311196253725
1,1,1,1,-1,1,1,-1,1,0.5845040442741591
1,1,1,1,1,1,1,-1,4,0.5855683269476373
1,1,-1,1,1,1,1,-1,1,0.5900383141762453
1,1,-1,1,1,1,1,-1,4,0.587909748829289
1,1,-1,1,-1,1,1,1,1,0.5908897403150277
1,1,-1,1,-1,1,1,1,4,0.5730097914005959
1,1,1,1,-1,1,1,1,1,0.576841209025117
1,1,-1,1,-1,1,1,-1,1,0.59514687100894
1,1,1,1,-1,1,1,1,3,0.6119625372498936
1,1,1,1,-1,1,1,-1,3,0.6149425287356322
1,1,-1,1,-1,1,1,1,3,0.6315453384418903
1,1,-1,1,-1,1,1,-1,3,0.636653895274585
1,1,-1,1,1,1,1,1,3,0.6362281822051936
1,1,-1,1,1,1,1,-1,3,0.6477224350787569
1,1,1,1,1,1,1,1,3,0.6600681140911028
1,1,1,1,1,1,1,-1,3,0.6685823754789273
1,1,-1,1,-1,1,-1,1,2,0.7626649638143891
1,1,-1,1,-1,1,-1,-1,2,0.7709663686675182
1,1,1,1,-1,1,-1,1,2,0.771604938271605
1,1,1,1,-1,1,-1,-1,2,0.7890591741166455
1,1,-1,1,-1,1,-1,1,3,0.8135376756066414
1,1,-1,1,-1,1,-1,-1,3,0.8214133673903788
1,1,1,1,1,1,-1,1,4,0.8254576415495957
1,1,-1,1,1,1,-1,-1,1,0.8124733929331632
